name,private,description,archived,forks_count
iac_post_deploy,false,"scripts for configuring various components post deployment",false,1
poc-architecture,false,"Proof of Concept for Scalability Architecture Stream",false,1
contrib-rancher-scaler-tool,false,"Rancher Tooling for automatically scaling up and down Rancher node pools to save 💵💵💵.",false,1
image-watcher-svc,false,"A standalone service for monitoring public images on Docker Hub",false,1
reporting-hub-bop-api-svc,false,"Incubation: Reporting BC graphql service ",false,1
security-role-perm-operator-svc,false,"Incubation: Role Permission Operator (on k8s)",false,1
contrib-fido-test-ui,false,"Easily generate FIDO test credentials for the Third Party API",false,1
security-kratos-oidc-provider-ui,false,"A Kratos UI for forwarding immediately to a single configured OIDC provider",false,1
product-council,false,"Content linked to Product Council",false,1
auditing-bc,false,"**EXPERIMENTAL** vNext Auditing Bounded Context Mono Repository",false,1
platform-configuration-bc,false,"**EXPERIMENTAL** vNext client lib to the central platform-configuration services",false,1
security-rbac-tests,false,"A collection of test cases to test Role Based Access Control (RBAC) feature in mojaloop business operations framework",false,1
transfers-bc,false,"**EXPERIMENTAL** vNext Transfers Bounded Context",false,1
accounts-and-balances-bc,false,"EXPERIMENTAL vNext Accounts and Balances Bounded Context",false,1
gsp-connector,false,"[EXPERIMENTAL] This is a connector developed for the https://github.com/mojaloop/ml-pisp-bootcamp",false,1
sdk-core-connector-rafiki-api-svc,false,"**EXPERIMENTAL** **TEMPORARY** Core connector for Rafiki",false,1
pisp-ttk-sandbox,false,"A local sandbox which simulates PISP, DFSP and mojaloop services using mojaloop-testing-toolkit",false,1
control-center-util,false,"image for running terraform/ansible modules from dev workstation and gitlab ci",false,1
Currency-conversion,false,"Repository containing material relating to Mojaloop workstreams",false,1
payment-token-adapter,false,"EXPERIMENTAL: Facilitates payment token mapping between Mojaloop Connector (SDK Scheme Adapter) & CBS Connector",false,1
beneficiary-registration-portal-backend,false,"EXPERIMENTAL: Beneficiary Registration Portal which is called by a beneficiary management system using an Open ID connect flow. If the registration is successfully, then a JTW token is returned that contains the payment token to be used in Mojaloop payments.",false,1
beneficiary-registration-portal-frontend,false,"EXPERIMENTAL: Beneficiary Registration Portal  frontend which is called by a beneficiary management system using an Open ID connect flow. If the registration is successfully, then a JTW token is returned that contains the payment token to be used in Mojaloop payments.",false,1
ci-config-orb-build,false,"null",false,1
wso2-helm-charts-simple,false,"Experimental - Simplified version of wso2 iskm and api manager helm charts",false,0
ml-operator,false,"A POC to watch deployments and check if they are up to date",false,0
contrib-mojawallet-demo,false,"null",false,0
contrib-dev-portal,false,"A developer portal that can be deployed along a Mojaloop Sandbox",false,0
test-coda-integration,false,"test repo for coda integration",false,0
wso2-mysql,false,"null",false,0
wso2is-populate,false,"null",false,0
.github,false,"null",false,0
typescript-bc-template,false,"**EXPERIMENTAL** vNext Template based on initial Logging Bounded Context Mono Repository",false,0
testpages,false,"null",false,0
haproxy-helm-charts,false,"Helm chart for HAProxy kubernetes ingress controller",false,0
node-version-checker,false,"Mojaloop repository NodeJs version checker",false,0
scheduling-bc,false,"**EXPERIMENTAL** vNext Scheduling Bounded Context Mono Repository ",false,0
vuepress-plugin-versioning,false,"Tooling for Axway Appcelerator open source documentation. https://titanium-docs-devkit.netlify.com/",false,0
reporting-bc,false,"EXPERIMENTAL vNext Reporting Bounded Context Mono Repository",false,0
ml-pisp-bootcamp,false,"https://dfslab.net/mojaloop-bootcamp-for-pisps/",false,0
project-private,true,"null",false,0
quoting-bc,false,"EXPERIMENTAL vNext Quoting (Agreements) Bounded Context",false,0
fx-converter-template,false,"[EXPERIMENTAL] A template for FX converter which connects SDK to core connector",false,0
sdk-core-connector-openpayments-api-svc,false,"**EXPERIMENTAL** **TEMPORARY** Core connector for Open Payments API",false,0
vault-utils,false,"null",false,0
mojaloop-poc-docs,false,"Docs supporting Mojaloop PoCs - supporting adoption",false,0
ml-perf-characterization,false,"Mojaloop Performance Characterization Result Repo",false,0
vault-agent-util,false,"null",false,0
ml-uncdf-frms-g20-tech-sprint,false,"Demo for the G20 tech sprint solution for party /proxy lookup with compliance checks and enhanced data for checks",false,0
on-premises-deployment,false,"**EXPERIMENTAL** Code, documentation and other artefacts that support the deployment of Mojaloop software in production quality on-premises scenarios",false,0
thirdparty-api-bc,false,"**EXPERIMENTAL** vNext Third-Party API Bounded Context",false,0
alias-oracle,false,"An Oracle for Mojaloop ALS for Alias type (reference)",false,0
foreign-exchange-bc,false,"**EXPERIMENTAL** vNext Foreign Exchange (FX) Bounded Context ",false,0
ml-mosip-integration,false,"Proof of concept for an integration between Mojaloop, MOSIP and a Mifos based CBS",false,0
pisp-sig-docs,false,"Mojaloop PISP SIG documentation for in-progress topics; finalized docs will be moved to documentation or mojaloop specification repo ",false,0
iacv2-docs,false,"null",false,0
iso-20022-docs,false,"Documentation for the Mojaloop ISO 20022 change proposals",false,0
vn-helm,false,"EXPERIMENTAL: Helm charts for vnext",false,0
mifos-core-connector-docs,false,"Mifos Core Connector for Mojaloop Development Docs",false,0
beneficiary-management-system-svc,false,"EXPERIMENTAL: Calls the Beneficiary Registration Portal to register a token for the beneficiary using the kyc received from MOSIP and is registered in Mojaloop",false,0
callback-handler-simulator-svc,false,"EXPERIMENTAL: High performance callback handler simulator service for Mojaloop",false,0
ml-inter-scheme-docs,false,"Repository containing material for the inter-scheme workstream",false,0
inter-scheme-proxy-cache-lib,false,"EXPERIMENTAL: A common component that provides proxy caching mapping. It helps reliably integrate proxy functionality throughout the all involved services.",false,0
netbird-charts,false,"netbird charts",false,0
netbird,false,"Connect your devices into a secure WireGuard®-based overlay network with SSO, MFA and granular access controls.",false,0
terraform-provider-zitadel,false,"Official Terraform provider for ZITADEL",false,0
terraform-provider-netbird,false,"null",false,0
