dependency,type,group,name,license_id,version,publish_details,services
@angular-devkit/build-webpack,library,@angular-devkit,build-webpack,MIT,0.1202.18,published over a year ago by google-wombot <node-team-npm+wombot@google.com>,platform-shared-tools
@angular-devkit/core,library,@angular-devkit,core,MIT,12.2.18,published over a year ago by google-wombot <node-team-npm+wombot@google.com>,platform-shared-tools
@angular-devkit/schematics,library,@angular-devkit,schematics,MIT,12.2.18,published over a year ago by google-wombot <node-team-npm+wombot@google.com>,platform-shared-tools
@angular/animations,library,@angular,animations,MIT,12.2.17,published a year ago by google-wombot <node-team-npm+wombot@google.com>,platform-shared-tools
@angular/cli,library,@angular,cli,MIT,12.2.18,published over a year ago by google-wombot <node-team-npm+wombot@google.com>,platform-shared-tools
@angular/common,library,@angular,common,MIT,12.2.17,published a year ago by google-wombot <node-team-npm+wombot@google.com>,platform-shared-tools
@angular/compiler-cli,library,@angular,compiler-cli,MIT,12.2.17,published a year ago by google-wombot <node-team-npm+wombot@google.com>,platform-shared-tools
@angular/compiler,library,@angular,compiler,MIT,12.2.17,published a year ago by google-wombot <node-team-npm+wombot@google.com>,platform-shared-tools
@angular/core,library,@angular,core,MIT,12.2.17,published a year ago by google-wombot <node-team-npm+wombot@google.com>,platform-shared-tools
@angular/forms,library,@angular,forms,MIT,12.2.17,published a year ago by google-wombot <node-team-npm+wombot@google.com>,platform-shared-tools
@angular/localize,library,@angular,localize,MIT,12.2.17,published a year ago by google-wombot <node-team-npm+wombot@google.com>,platform-shared-tools
@angular/platform-browser-dynamic,library,@angular,platform-browser-dynamic,MIT,12.2.17,published a year ago by google-wombot <node-team-npm+wombot@google.com>,platform-shared-tools
@angular/platform-browser,library,@angular,platform-browser,MIT,12.2.17,published a year ago by google-wombot <node-team-npm+wombot@google.com>,platform-shared-tools
@angular/router,library,@angular,router,MIT,12.2.17,published a year ago by google-wombot <node-team-npm+wombot@google.com>,platform-shared-tools
@ant-design/colors,,,,,6.0.0,published over a year ago by zombiej <smith3816@gmail.com>,ml-testing-toolkit-ui
,,,,,7.0.2,published 8 months ago by madccc <1075746765@qq.com>,ml-testing-toolkit-ui
@ant-design/icons-svg,library,@ant-design,icons-svg,MIT,4.4.2,published 7 months ago by madccc <1075746765@qq.com>,ml-testing-toolkit-ui
@ant-design/icons,,,,,4.8.3,published 5 months ago by zombiej <smith3816@gmail.com>,ml-testing-toolkit-ui
,,,,,5.3.6,published 5 months ago by afc163 <afc163@gmail.com>,ml-testing-toolkit-ui
@ant-design/react-slick,library,@ant-design,react-slick,MIT,1.0.2,published a year ago by afc163 <afc163@gmail.com>,ml-testing-toolkit-ui
@apideck/better-ajv-errors,library,@apideck,better-ajv-errors,MIT,0.3.6,published over a year ago by eliasmeire <elias@meire.dev>,beneficiary-management-system-svc
,,,,,,,beneficiary-registration-portal-frontend
@apidevtools/json-schema-ref-parser,library,@apidevtools,json-schema-ref-parser,MIT,10.1.0,published a year ago by philsturgeon <me@philsturgeon.uk>,central-settlement
,,,,,,,fx-converter-template
,,,,,,,sdk-core-connector-openpayments-api-svc
,,,,,,,sdk-core-connector-rafiki-api-svc
,,,,,,,thirdparty-sdk
,,,,,11.1.0,published 11 months ago by philsturgeon <me@philsturgeon.uk>,als-consent-oracle
,,,,,,,als-oracle-pathfinder
,,,,,,,central-settlement
,,,,,,,email-notifier
,,,,,,,event-stream-processor
,,,,,,,role-assignment-service
,,,,,,,security-role-perm-operator-svc
,,,,,,,simulator
,,,,,,,thirdparty-sdk
,,,,,11.5.4,published 6 months ago by philsturgeon <me@philsturgeon.uk>,mifos-core-connector
,,,,,,,payment-token-adapter
,,,,,11.6.2,published 3 months ago by philsturgeon <me@philsturgeon.uk>,central-event-processor
,,,,,,,central-ledger
,,,,,,,central-services-shared
,,,,,11.6.4,published 3 months ago by philsturgeon <me@philsturgeon.uk>,account-lookup-service
,,,,,,,auth-service
,,,,,,,bulk-api-adapter
,,,,,,,central-settlement
,,,,,,,event-sidecar
,,,,,,,ml-testing-toolkit
,,,,,,,simulator
,,,,,,,thirdparty-api-svc
,,,,,,,transaction-requests-service
,,,,,8.0.0,published over a year ago by jamesmessinger <james.messinger@gmail.com>,als-consent-oracle
,,,,,,,als-oracle-pathfinder
,,,,,,,auth-service
,,,,,,,bulk-api-adapter
,,,,,,,central-settlement
,,,,,,,event-sidecar
,,,,,,,ml-testing-toolkit
,,,,,,,operator-settlement
,,,,,,,oracle-shared-library
,,,,,,,role-assignment-service
,,,,,,,thirdparty-api-svc
,,,,,9.0.6,published over a year ago by jamesmessinger <james.messinger@gmail.com>,api-snippets
,,,,,,,auth-service
,,,,,,,thirdparty-api-svc
,,,,,,,thirdparty-sdk
,,,,,9.0.9,published over a year ago by jamesmessinger <james.messinger@gmail.com>,ml-testing-toolkit-client-lib
,,,,,,,ml-testing-toolkit
,,,,,,,ml-testing-toolkit-shared-lib
,,,,,,,ml-testing-toolkit-ui
,,,,,,,mojaloop-simulator
,,,,,,,role-assignment-service
,,,,,,,simulator
,,,,,,,thirdparty-sdk
,,,,,,,transaction-requests-service
,,,,,9.1.2,published a year ago by philsturgeon <me@philsturgeon.uk>,als-consent-oracle
,,,,,,,api-snippets
,,,,,,,auth-service
,,,,,,,bulk-api-adapter
,,,,,,,central-ledger
,,,,,,,central-settlement
,,,,,,,event-sidecar
,,,,,,,fx-converter-template
,,,,,,,merchant-registry-svc
,,,,,,,mifos-core-connector
,,,,,,,ml-testing-toolkit
,,,,,,,payment-token-adapter
,,,,,,,role-assignment-service
,,,,,,,sdk-core-connector-openpayments-api-svc
,,,,,,,sdk-core-connector-rafiki-api-svc
,,,,,,,sdk-standard-components
,,,,,,,thirdparty-api-svc
,,,,,,,thirdparty-sdk
@apidevtools/openapi-schemas,library,@apidevtools,openapi-schemas,MIT,2.0.3,published over a year ago by jamesmessinger <james.messinger@gmail.com>,oracle-shared-library
,,,,,2.0.4,published over a year ago by jamesmessinger <james.messinger@gmail.com>,operator-settlement
,,,,,2.1.0,published over a year ago by jamesmessinger <james.messinger@gmail.com>,als-consent-oracle
,,,,,,,als-oracle-pathfinder
,,,,,,,api-snippets
,,,,,,,auth-service
,,,,,,,bulk-api-adapter
,,,,,,,central-ledger
,,,,,,,central-settlement
,,,,,,,event-sidecar
,,,,,,,merchant-registry-svc
,,,,,,,ml-testing-toolkit
,,,,,,,role-assignment-service
,,,,,,,simulator
,,,,,,,thirdparty-api-svc
,,,,,,,thirdparty-sdk
,,,,,,,transaction-requests-service
@apidevtools/swagger-cli,library,@apidevtools,swagger-cli,MIT,4.0.4,published over a year ago by jamesmessinger <james.messinger@gmail.com>,api-snippets
,,,,,,,auth-service
,,,,,,,role-assignment-service
,,,,,,,thirdparty-api-svc
,,,,,,,thirdparty-sdk
@apidevtools/swagger-methods,library,@apidevtools,swagger-methods,MIT,3.0.1,published over a year ago by jamesmessinger <james.messinger@gmail.com>,oracle-shared-library
,,,,,3.0.2,published over a year ago by jamesmessinger <james.messinger@gmail.com>,als-consent-oracle
,,,,,,,als-oracle-pathfinder
,,,,,,,api-snippets
,,,,,,,auth-service
,,,,,,,bulk-api-adapter
,,,,,,,central-ledger
,,,,,,,central-settlement
,,,,,,,event-sidecar
,,,,,,,merchant-registry-svc
,,,,,,,ml-testing-toolkit
,,,,,,,operator-settlement
,,,,,,,role-assignment-service
,,,,,,,simulator
,,,,,,,thirdparty-api-svc
,,,,,,,thirdparty-sdk
,,,,,,,transaction-requests-service
@apidevtools/swagger-parser,library,@apidevtools,swagger-parser,MIT,10.0.3,published over a year ago by jamesmessinger <james.messinger@gmail.com>,als-consent-oracle
,,,,,,,auth-service
,,,,,,,bulk-api-adapter
,,,,,,,central-ledger
,,,,,,,central-settlement
,,,,,,,event-sidecar
,,,,,,,merchant-registry-svc
,,,,,,,ml-testing-toolkit
,,,,,,,role-assignment-service
,,,,,,,simulator
,,,,,,,thirdparty-api-svc
,,,,,,,transaction-requests-service
,,,,,10.1.0,published over a year ago by philsturgeon <me@philsturgeon.uk>,api-snippets
,,,,,,,auth-service
,,,,,,,thirdparty-api-svc
,,,,,,,thirdparty-sdk
,,,,,9.0.1,published over a year ago by jamesmessinger <james.messinger@gmail.com>,als-consent-oracle
,,,,,,,als-oracle-pathfinder
,,,,,,,auth-service
,,,,,,,bulk-api-adapter
,,,,,,,central-settlement
,,,,,,,event-sidecar
,,,,,,,ml-testing-toolkit
,,,,,,,operator-settlement
,,,,,,,oracle-shared-library
,,,,,,,role-assignment-service
,,,,,,,thirdparty-api-svc
@apollo/cache-control-types,library,@apollo,cache-control-types,MIT,1.0.2,published over a year ago by apollo-bot <npm@apollographql.com>,reporting-hub-bop-api-svc
@apollo/protobufjs,library,@apollo,protobufjs,BSD-3-Clause,1.2.7,published a year ago by glasser <glasser@apollographql.com>,reporting-hub-bop-api-svc
@apollo/server-gateway-interface,library,@apollo,server-gateway-interface,MIT,1.1.0,published a year ago by apollo-bot <npm@apollographql.com>,reporting-hub-bop-api-svc
@apollo/server-plugin-landing-page-graphql-playground,library,@apollo,server-plugin-landing-page-graphql-playground,MIT,4.0.0,published a year ago by apollo-bot <npm@apollographql.com>,reporting-hub-bop-api-svc
@apollo/server,library,@apollo,server,MIT,4.6.0,published a year ago by apollo-bot <npm@apollographql.com>,reporting-hub-bop-api-svc
@apollo/usage-reporting-protobuf,library,@apollo,usage-reporting-protobuf,MIT,4.1.0,published a year ago by apollo-bot <npm@apollographql.com>,reporting-hub-bop-api-svc
@apollo/utils.createhash,library,@apollo,utils.createhash,MIT,2.0.1,published a year ago by apollo-bot <npm@apollographql.com>,reporting-hub-bop-api-svc
@apollo/utils.dropunuseddefinitions,library,@apollo,utils.dropunuseddefinitions,MIT,2.0.1,published a year ago by apollo-bot <npm@apollographql.com>,reporting-hub-bop-api-svc
@apollo/utils.fetcher,library,@apollo,utils.fetcher,MIT,2.0.1,published a year ago by apollo-bot <npm@apollographql.com>,reporting-hub-bop-api-svc
@apollo/utils.isnodelike,library,@apollo,utils.isnodelike,MIT,2.0.1,published a year ago by apollo-bot <npm@apollographql.com>,reporting-hub-bop-api-svc
@apollo/utils.keyvaluecache,library,@apollo,utils.keyvaluecache,MIT,2.1.1,published a year ago by apollo-bot <npm@apollographql.com>,reporting-hub-bop-api-svc
@apollo/utils.logger,library,@apollo,utils.logger,MIT,2.0.1,published a year ago by apollo-bot <npm@apollographql.com>,reporting-hub-bop-api-svc
@apollo/utils.printwithreducedwhitespace,library,@apollo,utils.printwithreducedwhitespace,MIT,2.0.1,published a year ago by apollo-bot <npm@apollographql.com>,reporting-hub-bop-api-svc
@apollo/utils.removealiases,library,@apollo,utils.removealiases,MIT,2.0.1,published a year ago by apollo-bot <npm@apollographql.com>,reporting-hub-bop-api-svc
@apollo/utils.sortast,library,@apollo,utils.sortast,MIT,2.0.1,published a year ago by apollo-bot <npm@apollographql.com>,reporting-hub-bop-api-svc
@apollo/utils.stripsensitiveliterals,library,@apollo,utils.stripsensitiveliterals,MIT,2.0.1,published a year ago by apollo-bot <npm@apollographql.com>,reporting-hub-bop-api-svc
@apollo/utils.usagereporting,library,@apollo,utils.usagereporting,MIT,2.0.1,published a year ago by apollo-bot <npm@apollographql.com>,reporting-hub-bop-api-svc
@apollo/utils.withrequired,library,@apollo,utils.withrequired,MIT,2.0.1,published a year ago by apollo-bot <npm@apollographql.com>,reporting-hub-bop-api-svc
@apollographql/graphql-playground-html,library,@apollographql,graphql-playground-html,MIT,1.6.29,published over a year ago by apollo-bot <npm@apollographql.com>,reporting-hub-bop-api-svc
@asamuzakjp/dom-selector,library,@asamuzakjp,dom-selector,MIT,2.0.1,published 8 months ago by asamuzakjp <info@asamuzak.jp>,merchant-registry-svc
@assemblyscript/loader,library,@assemblyscript,loader,Apache-2.0,0.10.1,published over a year ago by assemblyscript <dcode+assemblyscript@dcode.io>,platform-shared-tools
@ava/typescript,library,@ava,typescript,MIT,5.0.0,published 4 months ago by novemberborn <mark@novemberborn.net>,event-sidecar
@aws-crypto/crc32,library,@aws-crypto,crc32,Apache-2.0,3.0.0,published a year ago by aws-crypto-tools-ci-bot <aws-cryptools+github-ci-bot@amazon.com>,merchant-registry-svc
@aws-crypto/crc32c,library,@aws-crypto,crc32c,Apache-2.0,3.0.0,published a year ago by aws-crypto-tools-ci-bot <aws-cryptools+github-ci-bot@amazon.com>,merchant-registry-svc
@aws-crypto/ie11-detection,library,@aws-crypto,ie11-detection,Apache-2.0,3.0.0,published a year ago by aws-crypto-tools-ci-bot <aws-cryptools+github-ci-bot@amazon.com>,merchant-registry-svc
,,,,,,,reporting-events-processor-svc
@aws-crypto/sha1-browser,library,@aws-crypto,sha1-browser,Apache-2.0,3.0.0,published a year ago by aws-crypto-tools-ci-bot <aws-cryptools+github-ci-bot@amazon.com>,merchant-registry-svc
@aws-crypto/sha256-browser,library,@aws-crypto,sha256-browser,Apache-2.0,3.0.0,published a year ago by aws-crypto-tools-ci-bot <aws-cryptools+github-ci-bot@amazon.com>,merchant-registry-svc
,,,,,,,reporting-events-processor-svc
@aws-crypto/sha256-js,library,@aws-crypto,sha256-js,Apache-2.0,3.0.0,published a year ago by aws-crypto-tools-ci-bot <aws-cryptools+github-ci-bot@amazon.com>,merchant-registry-svc
,,,,,,,reporting-events-processor-svc
@aws-crypto/supports-web-crypto,library,@aws-crypto,supports-web-crypto,Apache-2.0,3.0.0,published a year ago by aws-crypto-tools-ci-bot <aws-cryptools+github-ci-bot@amazon.com>,merchant-registry-svc
,,,,,,,reporting-events-processor-svc
@aws-crypto/util,library,@aws-crypto,util,Apache-2.0,3.0.0,published a year ago by aws-crypto-tools-ci-bot <aws-cryptools+github-ci-bot@amazon.com>,merchant-registry-svc
,,,,,,,reporting-events-processor-svc
@aws-sdk/client-cognito-identity,library,@aws-sdk,client-cognito-identity,Apache-2.0,3.577.0,published 3 months ago by aws-sdk-bot <aws-sdk-js-automation@amazon.com>,reporting-events-processor-svc
@aws-sdk/client-s3,library,@aws-sdk,client-s3,Apache-2.0,3.435.0,published 10 months ago by aws-sdk-bot <aws-sdk-js-automation@amazon.com>,merchant-registry-svc
@aws-sdk/client-sso-oidc,library,@aws-sdk,client-sso-oidc,Apache-2.0,3.577.0,published 3 months ago by aws-sdk-bot <aws-sdk-js-automation@amazon.com>,reporting-events-processor-svc
@aws-sdk/client-sso,library,@aws-sdk,client-sso,Apache-2.0,3.435.0,published 10 months ago by aws-sdk-bot <aws-sdk-js-automation@amazon.com>,merchant-registry-svc
,,,,,3.577.0,published 3 months ago by aws-sdk-bot <aws-sdk-js-automation@amazon.com>,reporting-events-processor-svc
@aws-sdk/client-sts,library,@aws-sdk,client-sts,Apache-2.0,3.435.0,published 10 months ago by aws-sdk-bot <aws-sdk-js-automation@amazon.com>,merchant-registry-svc
,,,,,3.577.0,published 3 months ago by aws-sdk-bot <aws-sdk-js-automation@amazon.com>,reporting-events-processor-svc
@aws-sdk/core,library,@aws-sdk,core,Apache-2.0,3.576.0,published 3 months ago by aws-sdk-bot <aws-sdk-js-automation@amazon.com>,reporting-events-processor-svc
@aws-sdk/credential-provider-cognito-identity,library,@aws-sdk,credential-provider-cognito-identity,Apache-2.0,3.577.0,published 3 months ago by aws-sdk-bot <aws-sdk-js-automation@amazon.com>,reporting-events-processor-svc
@aws-sdk/credential-provider-env,library,@aws-sdk,credential-provider-env,Apache-2.0,3.433.0,published 10 months ago by aws-sdk-bot <aws-sdk-js-automation@amazon.com>,merchant-registry-svc
,,,,,3.577.0,published 3 months ago by aws-sdk-bot <aws-sdk-js-automation@amazon.com>,reporting-events-processor-svc
@aws-sdk/credential-provider-http,library,@aws-sdk,credential-provider-http,Apache-2.0,3.577.0,published 3 months ago by aws-sdk-bot <aws-sdk-js-automation@amazon.com>,reporting-events-processor-svc
@aws-sdk/credential-provider-ini,library,@aws-sdk,credential-provider-ini,Apache-2.0,3.435.0,published 10 months ago by aws-sdk-bot <aws-sdk-js-automation@amazon.com>,merchant-registry-svc
,,,,,3.577.0,published 3 months ago by aws-sdk-bot <aws-sdk-js-automation@amazon.com>,reporting-events-processor-svc
@aws-sdk/credential-provider-node,library,@aws-sdk,credential-provider-node,Apache-2.0,3.435.0,published 10 months ago by aws-sdk-bot <aws-sdk-js-automation@amazon.com>,merchant-registry-svc
,,,,,3.577.0,published 3 months ago by aws-sdk-bot <aws-sdk-js-automation@amazon.com>,reporting-events-processor-svc
@aws-sdk/credential-provider-process,library,@aws-sdk,credential-provider-process,Apache-2.0,3.433.0,published 10 months ago by aws-sdk-bot <aws-sdk-js-automation@amazon.com>,merchant-registry-svc
,,,,,3.577.0,published 3 months ago by aws-sdk-bot <aws-sdk-js-automation@amazon.com>,reporting-events-processor-svc
@aws-sdk/credential-provider-sso,library,@aws-sdk,credential-provider-sso,Apache-2.0,3.435.0,published 10 months ago by aws-sdk-bot <aws-sdk-js-automation@amazon.com>,merchant-registry-svc
,,,,,3.577.0,published 3 months ago by aws-sdk-bot <aws-sdk-js-automation@amazon.com>,reporting-events-processor-svc
@aws-sdk/credential-provider-web-identity,library,@aws-sdk,credential-provider-web-identity,Apache-2.0,3.433.0,published 10 months ago by aws-sdk-bot <aws-sdk-js-automation@amazon.com>,merchant-registry-svc
,,,,,3.577.0,published 3 months ago by aws-sdk-bot <aws-sdk-js-automation@amazon.com>,reporting-events-processor-svc
@aws-sdk/credential-providers,library,@aws-sdk,credential-providers,Apache-2.0,3.577.0,published 3 months ago by aws-sdk-bot <aws-sdk-js-automation@amazon.com>,reporting-events-processor-svc
@aws-sdk/lib-storage,library,@aws-sdk,lib-storage,Apache-2.0,3.435.0,published 10 months ago by aws-sdk-bot <aws-sdk-js-automation@amazon.com>,merchant-registry-svc
@aws-sdk/middleware-bucket-endpoint,library,@aws-sdk,middleware-bucket-endpoint,Apache-2.0,3.433.0,published 10 months ago by aws-sdk-bot <aws-sdk-js-automation@amazon.com>,merchant-registry-svc
@aws-sdk/middleware-expect-continue,library,@aws-sdk,middleware-expect-continue,Apache-2.0,3.433.0,published 10 months ago by aws-sdk-bot <aws-sdk-js-automation@amazon.com>,merchant-registry-svc
@aws-sdk/middleware-flexible-checksums,library,@aws-sdk,middleware-flexible-checksums,Apache-2.0,3.433.0,published 10 months ago by aws-sdk-bot <aws-sdk-js-automation@amazon.com>,merchant-registry-svc
@aws-sdk/middleware-host-header,library,@aws-sdk,middleware-host-header,Apache-2.0,3.433.0,published 10 months ago by aws-sdk-bot <aws-sdk-js-automation@amazon.com>,merchant-registry-svc
,,,,,3.577.0,published 3 months ago by aws-sdk-bot <aws-sdk-js-automation@amazon.com>,reporting-events-processor-svc
@aws-sdk/middleware-location-constraint,library,@aws-sdk,middleware-location-constraint,Apache-2.0,3.433.0,published 10 months ago by aws-sdk-bot <aws-sdk-js-automation@amazon.com>,merchant-registry-svc
@aws-sdk/middleware-logger,library,@aws-sdk,middleware-logger,Apache-2.0,3.433.0,published 10 months ago by aws-sdk-bot <aws-sdk-js-automation@amazon.com>,merchant-registry-svc
,,,,,3.577.0,published 3 months ago by aws-sdk-bot <aws-sdk-js-automation@amazon.com>,reporting-events-processor-svc
@aws-sdk/middleware-recursion-detection,library,@aws-sdk,middleware-recursion-detection,Apache-2.0,3.433.0,published 10 months ago by aws-sdk-bot <aws-sdk-js-automation@amazon.com>,merchant-registry-svc
,,,,,3.577.0,published 3 months ago by aws-sdk-bot <aws-sdk-js-automation@amazon.com>,reporting-events-processor-svc
@aws-sdk/middleware-sdk-s3,library,@aws-sdk,middleware-sdk-s3,Apache-2.0,3.433.0,published 10 months ago by aws-sdk-bot <aws-sdk-js-automation@amazon.com>,merchant-registry-svc
@aws-sdk/middleware-sdk-sts,library,@aws-sdk,middleware-sdk-sts,Apache-2.0,3.433.0,published 10 months ago by aws-sdk-bot <aws-sdk-js-automation@amazon.com>,merchant-registry-svc
@aws-sdk/middleware-signing,library,@aws-sdk,middleware-signing,Apache-2.0,3.433.0,published 10 months ago by aws-sdk-bot <aws-sdk-js-automation@amazon.com>,merchant-registry-svc
@aws-sdk/middleware-ssec,library,@aws-sdk,middleware-ssec,Apache-2.0,3.433.0,published 10 months ago by aws-sdk-bot <aws-sdk-js-automation@amazon.com>,merchant-registry-svc
@aws-sdk/middleware-user-agent,library,@aws-sdk,middleware-user-agent,Apache-2.0,3.433.0,published 10 months ago by aws-sdk-bot <aws-sdk-js-automation@amazon.com>,merchant-registry-svc
,,,,,3.577.0,published 3 months ago by aws-sdk-bot <aws-sdk-js-automation@amazon.com>,reporting-events-processor-svc
@aws-sdk/region-config-resolver,library,@aws-sdk,region-config-resolver,Apache-2.0,3.433.0,published 10 months ago by aws-sdk-bot <aws-sdk-js-automation@amazon.com>,merchant-registry-svc
,,,,,3.577.0,published 3 months ago by aws-sdk-bot <aws-sdk-js-automation@amazon.com>,reporting-events-processor-svc
@aws-sdk/signature-v4-multi-region,library,@aws-sdk,signature-v4-multi-region,Apache-2.0,3.433.0,published 10 months ago by aws-sdk-bot <aws-sdk-js-automation@amazon.com>,merchant-registry-svc
@aws-sdk/token-providers,library,@aws-sdk,token-providers,Apache-2.0,3.435.0,published 10 months ago by aws-sdk-bot <aws-sdk-js-automation@amazon.com>,merchant-registry-svc
,,,,,3.577.0,published 3 months ago by aws-sdk-bot <aws-sdk-js-automation@amazon.com>,reporting-events-processor-svc
@aws-sdk/types,library,@aws-sdk,types,Apache-2.0,3.433.0,published 10 months ago by aws-sdk-bot <aws-sdk-js-automation@amazon.com>,merchant-registry-svc
,,,,,3.577.0,published 3 months ago by aws-sdk-bot <aws-sdk-js-automation@amazon.com>,reporting-events-processor-svc
@aws-sdk/util-arn-parser,library,@aws-sdk,util-arn-parser,Apache-2.0,3.310.0,published a year ago by aws-sdk-bot <aws-sdk-js-automation@amazon.com>,merchant-registry-svc
@aws-sdk/util-endpoints,library,@aws-sdk,util-endpoints,Apache-2.0,3.433.0,published 10 months ago by aws-sdk-bot <aws-sdk-js-automation@amazon.com>,merchant-registry-svc
,,,,,3.577.0,published 3 months ago by aws-sdk-bot <aws-sdk-js-automation@amazon.com>,reporting-events-processor-svc
@aws-sdk/util-locate-window,library,@aws-sdk,util-locate-window,Apache-2.0,3.310.0,published a year ago by aws-sdk-bot <aws-sdk-js-automation@amazon.com>,merchant-registry-svc
,,,,,3.568.0,published 4 months ago by aws-sdk-bot <aws-sdk-js-automation@amazon.com>,reporting-events-processor-svc
@aws-sdk/util-user-agent-browser,library,@aws-sdk,util-user-agent-browser,Apache-2.0,3.433.0,published 10 months ago by aws-sdk-bot <aws-sdk-js-automation@amazon.com>,merchant-registry-svc
,,,,,3.577.0,published 3 months ago by aws-sdk-bot <aws-sdk-js-automation@amazon.com>,reporting-events-processor-svc
